recordUrl,trialId,trialTitle,trialStatus,trialPhase,trialStartDate,trialTargetAccrual,trialIdentifiedSites,trialPrimaryCompletionDate,trialPrimaryEndpointsReported,trialReportedSites,trialPatientsPerSitePerMonth,totalTrialDuration,trialEnrollmentDuration,trialEnrollmentDurationPct
https://citeline.informa.com/#/trials/details/24791,24791,Phase I study of SL-65.0155 for Alzherimer's Disease.,Completed,I,,,,,,,,,,
https://citeline.informa.com/#/trials/details/25348,25348,A phase I single followed by multiple dose study of K-134,Completed,I,,,,,,,,,,
https://citeline.informa.com/#/trials/details/25375,25375,Phase I study of K-604,Completed,I,,,,,,,,,,
https://citeline.informa.com/#/trials/details/25435,25435,A Phase I study of AVE-9488,Completed,I,,,,,,,,,,
https://citeline.informa.com/#/trials/details/25437,25437,A Phase I study of SSR-182289,Completed,I,,,,,,,,,,
https://citeline.informa.com/#/trials/details/26015,26015,Phase 1 study of NRL 011 for treatment of opiate induced constipation.,Completed,I,,,,,,,,,,
https://citeline.informa.com/#/trials/details/26236,26236,"Phase I Open-label safety, PK and PD study of CytoFab in  patients with sepsis.",Completed,I,,,,,,,,,,
https://citeline.informa.com/#/trials/details/26874,26874,A Phase I study of TAK-363.,Completed,I,,,,,,,,,,
https://citeline.informa.com/#/trials/details/26929,26929,A Phase I clinical trial of c-3578 for osteoporosis.,Completed,I,,,,,,,,,,
https://citeline.informa.com/#/trials/details/26931,26931,A Phase I clinical trial of c-0730 for diabetes.,Completed,I,,,,,,,,,,
https://citeline.informa.com/#/trials/details/236484,236484,"NO-Synthesis in Patients With Liver Cirrhosis: Effect of L-NMMA on Renal Hemodynamics, Sodium Excretion and Plasma Levels of Vasoactive Hormones",Completed,I,,,,,,,,,,
https://citeline.informa.com/#/trials/details/236487,236487,Phase 1 Study of the Effects of Systemic Nitric Oxide Inhibition With Ng-Monomethyl-L-Arginine on Renal Hemodynamics and Sodium Excretion in Patients With Essential Hypertension and Healthy Controls,Completed,I,,,,,,,,,,
https://citeline.informa.com/#/trials/details/237125,237125,A Repeated-Dose Pharmacokinetic Evaluation of Dilaudid SR Tablets (Hydromorphone HCI) in Patients With Chronic Pain,Completed,I,,,,,,,,,,
https://citeline.informa.com/#/trials/details/244005,244005,A Study to Assess Injection Comfort of Two Formulations of ATX-101 (Sodium Deoxycholate Injection) Following Subcutaneous Administration in the Submental Area,Completed,I,,,,,,,,,,
https://citeline.informa.com/#/trials/details/246588,246588,Unspecified,Completed,I,,,,,,,,,,
https://citeline.informa.com/#/trials/details/246747,246747,Unspecified,Completed,I,,,,,,,,,,
https://citeline.informa.com/#/trials/details/27066,27066,A Phase I Trial of R1499 for Type 2 Diabetes.,Completed,I,,,,,,,,,,
https://citeline.informa.com/#/trials/details/27067,27067,A Phase I Trial of Ro 205-2349 for Type 2 Diabetes.,Completed,I,,,,,,,,,,
https://citeline.informa.com/#/trials/details/27441,27441,A Phase I clinical trial of GW-677954 for Type 2 Diabetes.,Completed,I,,,,,,,,,,
https://citeline.informa.com/#/trials/details/27665,27665,A Phase I Trial of CS-011 for the Treatment of Type 2 Diabetes.,Completed,I,,,,,,,,,,
https://citeline.informa.com/#/trials/details/27823,27823,A Phase I Trial of CS-011 for the Treatment of Type 2 Diabetes,Completed,I,,,,,,,,,,
https://citeline.informa.com/#/trials/details/27851,27851,A phase I study of SCH6 (serine protease) for Hepatitis C.,Completed,I,,,,,,,,,,
https://citeline.informa.com/#/trials/details/27862,27862,A phase I study of Low Dose Oral Interferon Alpha for Hepatitis C.,Completed,I,,,,,,,,,,
https://citeline.informa.com/#/trials/details/27981,27981,A Phase I clinical trial of T-6666 for type 2 diabetes.,Completed,I,,,,,,,,,,
https://citeline.informa.com/#/trials/details/28025,28025,A Phase I study of eflucimibe,Completed,I,,,,,,,,,,
https://citeline.informa.com/#/trials/details/28172,28172,Phase I clinical trial of oral ibandronate (R484) for osteoporosis.,Completed,I,,,,,,,,,,
https://citeline.informa.com/#/trials/details/246947,246947,"An Open Label Evaluation of the Dose Proportionality of Dilaudid SR (OROS??? Hydromorphone HCL) Tablets 8mg, 16mg, 32mg, and 64mg",Completed,I,,,,,,,,,,
https://citeline.informa.com/#/trials/details/246948,246948,An Open-Label Evaluation of the Independent Effect of Coadministration of a High Fat Meal and Naltrexone Blockade on the Pharmacokinetic Profile of Dilaudid OROS (Hydromorphone HCL) 16 mg,Completed,I,,,,,,,,,,
https://citeline.informa.com/#/trials/details/248069,248069,Effects of Propranolol on the Encoding and Retrieval of Emotional Material After Single Dose Administration in Healthy Young Subjects,Completed,I,,,,,,,,,,
https://citeline.informa.com/#/trials/details/248243,248243,Unspecified,Completed,I,,,,,,,,,,
https://citeline.informa.com/#/trials/details/248320,248320,A Relative Bioavailability Study of 100 mg Flavoxate Hydrochloride Tablets Under Fasting Conditions,Completed,I,,,,,,,,,,
https://citeline.informa.com/#/trials/details/248321,248321,"Bioavailability of Prochlorperazine Suppositories, 25 mg",Completed,I,,,,,,,,,,
https://citeline.informa.com/#/trials/details/249356,249356,A drug-Interaction study between LDV and MK-5172 in healthy subjects,Completed,I,,,,,,,,,,
https://citeline.informa.com/#/trials/details/249389,249389,"A phase I, dose escalation to assess FBS0701 in patients with chronic transfusional iron overload",Completed,I,,,,,,,,,,
https://citeline.informa.com/#/trials/details/249391,249391,A drug-interaction study between LDV or VDV and a representative H2RA or PPI in healthy subjects,Completed,I,,,,,,,,,,
https://citeline.informa.com/#/trials/details/249450,249450,"Drug-Interaction Study Between LDV, VDV, and GS-9669 in Healthy Subjects",Completed,I,,,,,,,,,,
https://citeline.informa.com/#/trials/details/249453,249453,"Drug-Interaction Study Between LDV, VDV, and GS-6620 in Healthy Subjects",Completed,I,,,,,,,,,,
https://citeline.informa.com/#/trials/details/249523,249523,A clinical study on drug-interaction between Ledipasvir and HIV Antiretrovirals in healthy subjects,Completed,I,,,,,,,,,,
https://citeline.informa.com/#/trials/details/249641,249641,"A Phase 1b, Multidose Pharmacokinetic Study of NTC-510",Completed,I,,,,,,,,,,
https://citeline.informa.com/#/trials/details/249684,249684,"A Pharmacokinetics, Open-label, Randomized Study on Integrated Approach to Assess the Impact of Gastric pH on GDC-0941 and GDC-0980",Completed,I,,,,,,,,,,
https://citeline.informa.com/#/trials/details/250068,250068,Phase I Study of Ad-IL 24 in Squamous Cell Carcinoma of the Head and Neck Cancer Patients.,Completed,I,,,,,,,,,,
https://citeline.informa.com/#/trials/details/250078,250078,Phse I Trial of MTPS-120 in End-Stage Non-Small Cell Lung Cancer Patients,Completed,I,,,,,,,,,,
https://citeline.informa.com/#/trials/details/250086,250086,Phase I study of Ad-p53 in Liver Metastases from Colorectal Cancer,Completed,I,,,,,,,,,,
https://citeline.informa.com/#/trials/details/250213,250213,A Phase Ib Study to Evaluate the Efficacy of NB1001 in patients with Type 2 diabetes,Completed,I,,,,,,,,,,
https://citeline.informa.com/#/trials/details/250232,250232,A Phase I Study of Genetically Engineered Strain of Vesicular Stomatitis Virus (VSV) in Patients with Hepatocellular Carcinoma and Other Cancers that have Metastasised to the Liver,Completed,I,,,,,,,,,,
https://citeline.informa.com/#/trials/details/250409,250409,A phase I study of PL2200,Completed,I,,,,,,,,,,
https://citeline.informa.com/#/trials/details/250410,250410,A Phase I study of ACT-132577 for Hypertension,Completed,I,,,,,,,,,,
https://citeline.informa.com/#/trials/details/250688,250688,A Phase I Study of PTX 9908 in Patients with Mid-Stage Liver Cancer,Completed,I,,,,,,,,,,
https://citeline.informa.com/#/trials/details/250830,250830,A Phase I study of topical soft pan-JAK for atopic dermatitis and psoriasis.,Completed,I,,,,,,,,,,
https://citeline.informa.com/#/trials/details/251112,251112,A phase I study of BKC 003 in hypertension,Completed,I,,,,,,,,,,
https://citeline.informa.com/#/trials/details/251154,251154,A Phase I study of IY5741 for Influenza,Completed,I,,,,,,,,,,
https://citeline.informa.com/#/trials/details/251167,251167,A single dose Phase I study in healthy volunteers,Completed,I,,,,,,,,,,
https://citeline.informa.com/#/trials/details/251179,251179,A multiple-dose Phase I trial in patients with rheumatoid arthritis,Completed,I,,,,,,,,,,
https://citeline.informa.com/#/trials/details/251292,251292,A phase I study of KKM0805 for osteoporosis,Completed,I,,,,,,,,,,
https://citeline.informa.com/#/trials/details/251296,251296,A phase I study of KKM0902 for osteoporosis,Completed,I,,,,,,,,,,
https://citeline.informa.com/#/trials/details/252034,252034,A Phase I Safety and Pharmacokinetic Study with MorphaBond ER for the Treatment of Pain,Completed,I,,,,,,,,,,
https://citeline.informa.com/#/trials/details/252185,252185,A Compassionate Use Program of QLT091001 in Patients Leber Congenital Amaurosis and Retinitis Pigmentosa,Completed,I,,,,,,,,,,
https://citeline.informa.com/#/trials/details/252488,252488,A Study to Evaluate the Bioequivalence of Tambocor Fine Granule Formulation to Tablet Formulation in Pediatric Patients,Completed,I,,,,,,,,,,
https://citeline.informa.com/#/trials/details/252806,252806,A Phase I study of Galavit IM Oral in Ataxia telangiectasia,Completed,I,,,,,,,,,,
https://citeline.informa.com/#/trials/details/253527,253527,A Phase 1 Study of SBL003 in Multiple Sclerosis,Completed,I,,,,,,,,,,
https://citeline.informa.com/#/trials/details/253563,253563,A Phase I Study to Evaluate the Food Effect of the Micronized Active Pharmaceutical Ingredient in Capsule Formulation (PIC Formulation) of Galeterone in Healthy Volunteers,Completed,I,,,,,,,,,,
https://citeline.informa.com/#/trials/details/253564,253564,A Phase I Study of Galeterone (Coated Tablet Formulation) in Healthy Volunteers,Completed,I,,,,,,,,,,
https://citeline.informa.com/#/trials/details/253566,253566,A Phase I Study to Evaluate the Food Effect of the Micronized Active Pharmaceutical Ingredient in Capsule Formulation (PIC Formulation) of Galeterone in Healthy Volunteers,Completed,I,,,,,,,,,,
https://citeline.informa.com/#/trials/details/254235,254235,A pharmacokinetic and drug interaction study of adenuric with desipramine,Completed,I,,,,,,,,,,
